season,week,n_active,true_k,true_elims,pred_rank,pred_percent,pred_dynamic_js,pred_uncertainty_geo,match_rank,match_percent,match_dynamic_js,match_uncertainty_geo,has_extreme_disagreement,true_in_extreme,rank_in_extreme,percent_in_extreme,dynamic_in_extreme,uncertainty_geo_in_extreme,pred_rank_set,pred_percent_set,pred_dynamic_set,pred_uncertainty_set,rank_vs_percent_diff,geo_vs_rank_diff,geo_vs_percent_diff
27,4,10,1,Tinashe,DeMarcus Ware,Tinashe,Juan Pablo Di Pace,Tinashe,0,1,0,1,1,0,0,0,0,0,{'DeMarcus Ware'},{'Tinashe'},{'Juan Pablo Di Pace'},{'Tinashe'},1,1,0
28,3,10,1,Lamar Odom,Karamo Brown,Karamo Brown,Karamo Brown,Lamar Odom,0,0,0,1,1,0,0,0,0,0,{'Karamo Brown'},{'Karamo Brown'},{'Karamo Brown'},{'Lamar Odom'},0,1,1
29,7,10,2,Jeannie Mai;Monica Aldama,Jeannie Mai;Kaitlyn Bristowe,Jeannie Mai;Johnny Weir,Jeannie Mai;Johnny Weir,Jeannie Mai;Johnny Weir,0,0,0,0,1,0,0,1,1,1,"{'Kaitlyn Bristowe', 'Jeannie Mai'}","{'Jeannie Mai', 'Johnny Weir'}","{'Jeannie Mai', 'Johnny Weir'}","{'Jeannie Mai', 'Johnny Weir'}",1,1,0
30,3,14,1,Christine Chiu,Brian Austin Green,Melanie C,Melanie C,Melanie C,0,0,0,0,1,0,0,1,1,1,{'Brian Austin Green'},{'Melanie C'},{'Melanie C'},{'Melanie C'},1,1,0
30,4,13,2,Brian Austin Green;Matt James,Brian Austin Green;Matt James,Melora Hardin;Olivia Jade,Melora Hardin;Olivia Jade,Melora Hardin;Olivia Jade,1,0,0,0,1,1,1,1,1,1,"{'Matt James', 'Brian Austin Green'}","{'Olivia Jade', 'Melora Hardin'}","{'Olivia Jade', 'Melora Hardin'}","{'Olivia Jade', 'Melora Hardin'}",1,1,0
30,5,11,1,Melanie C,Iman Shumpert,JoJo Siwa,Melanie C,JoJo Siwa,0,0,1,0,1,0,1,1,0,1,{'Iman Shumpert'},{'JoJo Siwa'},{'Melanie C'},{'JoJo Siwa'},1,1,0
30,6,10,1,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,JoJo Siwa,1,1,1,0,1,0,0,0,0,1,{'Kenya Moore'},{'Kenya Moore'},{'Kenya Moore'},{'JoJo Siwa'},0,1,1
31,2,15,1,Teresa Giudice,Teresa Giudice,Daniel Durant,Teresa Giudice,Daniel Durant,1,0,1,0,1,0,0,1,0,1,{'Teresa Giudice'},{'Daniel Durant'},{'Teresa Giudice'},{'Daniel Durant'},1,1,0
31,4,13,1,Sam Champion,Sam Champion,Gabby Windey,Heidi D'Amelio,Gabby Windey,1,0,0,0,1,0,0,1,1,1,{'Sam Champion'},{'Gabby Windey'},"{""Heidi D'Amelio""}",{'Gabby Windey'},1,1,0
31,5,12,2,Joseph Baena;Selma Blair,Daniel Durant;Joseph Baena,Charli D'Amelio;Selma Blair,Charli D'Amelio;Selma Blair,Charli D'Amelio;Selma Blair,0,0,0,0,1,1,0,1,1,1,"{'Daniel Durant', 'Joseph Baena'}","{'Selma Blair', ""Charli D'Amelio""}","{'Selma Blair', ""Charli D'Amelio""}","{'Selma Blair', ""Charli D'Amelio""}",1,1,0
31,6,10,1,Jessie James Decker,Jessie James Decker,Charli D'Amelio,Wayne Brady,Charli D'Amelio,1,0,0,0,1,0,0,1,0,1,{'Jessie James Decker'},"{""Charli D'Amelio""}",{'Wayne Brady'},"{""Charli D'Amelio""}",1,1,0
31,7,9,1,Jordin Sparks,Gabby Windey,Charli D'Amelio,Wayne Brady,Charli D'Amelio,0,0,0,0,1,0,0,1,0,1,{'Gabby Windey'},"{""Charli D'Amelio""}",{'Wayne Brady'},"{""Charli D'Amelio""}",1,1,0
32,2,13,1,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,1,1,1,0,1,0,0,0,0,0,{'Jamie Lynn Spears'},{'Jamie Lynn Spears'},{'Jamie Lynn Spears'},{'Mauricio Umansky'},0,1,1
32,4,11,1,Adrian Peterson,Adrian Peterson,Lele Pons,Adrian Peterson,Lele Pons,1,0,1,0,1,0,0,0,0,0,{'Adrian Peterson'},{'Lele Pons'},{'Adrian Peterson'},{'Lele Pons'},1,1,0
32,5,10,1,Mira Sorvino,Harry Jowsey,Xochitl Gomez,Xochitl Gomez,Xochitl Gomez,0,0,0,0,1,0,0,1,1,1,{'Harry Jowsey'},{'Xochitl Gomez'},{'Xochitl Gomez'},{'Xochitl Gomez'},1,1,0
32,6,9,1,Mauricio Umansky,Alyson Hannigan,Charity Lawson,Charity Lawson,Xochitl Gomez,0,0,0,0,1,0,0,0,0,1,{'Alyson Hannigan'},{'Charity Lawson'},{'Charity Lawson'},{'Xochitl Gomez'},1,1,1
34,5,10,1,Scott Hoying,Jen Affleck,Elaine Hendrix,Jen Affleck,Elaine Hendrix,0,0,0,0,1,0,0,0,0,0,{'Jen Affleck'},{'Elaine Hendrix'},{'Jen Affleck'},{'Elaine Hendrix'},1,1,0
34,7,9,1,Jen Affleck,Elaine Hendrix,Jen Affleck,Jordan Chiles,Whitney Leavitt,0,1,0,0,1,0,0,0,0,0,{'Elaine Hendrix'},{'Jen Affleck'},{'Jordan Chiles'},{'Whitney Leavitt'},1,1,1
