season,week,n_active,true_k,true_elims,pred_rank,pred_percent,pred_dynamic_js,pred_uncertainty_geo,match_rank,match_percent,match_dynamic_js,match_uncertainty_geo,has_extreme_disagreement,true_in_extreme,rank_in_extreme,percent_in_extreme,dynamic_in_extreme,uncertainty_geo_in_extreme,pred_rank_set,pred_percent_set,pred_dynamic_set,pred_uncertainty_set,rank_vs_percent_diff,geo_vs_rank_diff,geo_vs_percent_diff
4,8,5,1,Billy Ray Cyrus,Laila Ali,Billy Ray Cyrus,Laila Ali,Billy Ray Cyrus,0,1,0,1,0,0,0,0,0,0,{'Laila Ali'},{'Billy Ray Cyrus'},{'Laila Ali'},{'Billy Ray Cyrus'},1,1,0
5,6,7,1,Sabrina Bryan,Marie Osmond,Sabrina Bryan,Sabrina Bryan,Sabrina Bryan,0,1,1,1,0,0,0,0,0,0,{'Marie Osmond'},{'Sabrina Bryan'},{'Sabrina Bryan'},{'Sabrina Bryan'},1,1,0
6,3,10,1,Steve Guttenberg,Marissa Jaret Winokur,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,0,1,1,1,1,0,0,0,0,0,{'Marissa Jaret Winokur'},{'Steve Guttenberg'},{'Steve Guttenberg'},{'Steve Guttenberg'},1,1,0
6,5,8,1,Priscilla Presley,Marlee Matlin,Priscilla Presley,Marissa Jaret Winokur,Priscilla Presley,0,1,0,1,0,0,0,0,0,0,{'Marlee Matlin'},{'Priscilla Presley'},{'Marissa Jaret Winokur'},{'Priscilla Presley'},1,1,0
6,7,6,1,Shannon Elizabeth,Cristian de la Fuente,Shannon Elizabeth,Shannon Elizabeth,Shannon Elizabeth,0,1,1,1,0,0,0,0,0,0,{'Cristian de la Fuente'},{'Shannon Elizabeth'},{'Shannon Elizabeth'},{'Shannon Elizabeth'},1,1,0
7,5,8,1,Toni Braxton,Maurice Greene,Toni Braxton,Maurice Greene,Toni Braxton,0,1,0,1,0,0,0,0,0,0,{'Maurice Greene'},{'Toni Braxton'},{'Maurice Greene'},{'Toni Braxton'},1,1,0
7,8,5,1,Maurice Greene,Maurice Greene,Maurice Greene,Maurice Greene,Brooke Burke,1,1,1,0,0,0,0,0,0,0,{'Maurice Greene'},{'Maurice Greene'},{'Maurice Greene'},{'Brooke Burke'},0,1,1
8,3,12,1,Denise Richards,Denise Richards,Denise Richards,Denise Richards,Steve Wozniak,1,1,1,0,1,0,0,0,0,0,{'Denise Richards'},{'Denise Richards'},{'Denise Richards'},{'Steve Wozniak'},0,1,1
8,4,11,2,Holly Madison;Steve Wozniak,Holly Madison;Lawrence Taylor,Holly Madison;Steve Wozniak,Melissa Rycroft;Steve Wozniak,Holly Madison;Steve Wozniak,0,1,0,1,1,0,0,0,1,0,"{'Lawrence Taylor', 'Holly Madison'}","{'Steve Wozniak', 'Holly Madison'}","{'Steve Wozniak', 'Melissa Rycroft'}","{'Steve Wozniak', 'Holly Madison'}",1,1,0
8,6,8,1,Steve-O,Lawrence Taylor,Steve-O,Lawrence Taylor,Steve-O,0,1,0,1,0,0,0,0,0,0,{'Lawrence Taylor'},{'Steve-O'},{'Lawrence Taylor'},{'Steve-O'},1,1,0
8,8,6,1,Chuck Wicks,Chuck Wicks,Chuck Wicks,Shawn Johnson,Shawn Johnson,1,1,0,0,0,0,0,0,0,0,{'Chuck Wicks'},{'Chuck Wicks'},{'Shawn Johnson'},{'Shawn Johnson'},0,1,1
9,3,13,2,Debi Mazar;Tom DeLay,Debi Mazar;Tom DeLay,Debi Mazar;Tom DeLay,Aaron Carter;Debi Mazar,Michael Irvin;Tom DeLay,1,1,0,0,1,0,0,0,1,0,"{'Tom DeLay', 'Debi Mazar'}","{'Tom DeLay', 'Debi Mazar'}","{'Debi Mazar', 'Aaron Carter'}","{'Tom DeLay', 'Michael Irvin'}",0,1,1
9,6,9,2,Louie Vito;Melissa Joan Hart,Mark Dacascos;Melissa Joan Hart,Louie Vito;Melissa Joan Hart,Mark Dacascos;Mya,Louie Vito;Melissa Joan Hart,0,1,0,1,1,0,0,0,0,0,"{'Melissa Joan Hart', 'Mark Dacascos'}","{'Louie Vito', 'Melissa Joan Hart'}","{'Mya', 'Mark Dacascos'}","{'Louie Vito', 'Melissa Joan Hart'}",1,1,0
9,7,7,2,Mark Dacascos;Michael Irvin,Aaron Carter;Mark Dacascos,Mark Dacascos;Michael Irvin,Aaron Carter;Donny Osmond,Aaron Carter;Mark Dacascos,0,1,0,0,0,0,0,0,0,0,"{'Aaron Carter', 'Mark Dacascos'}","{'Michael Irvin', 'Mark Dacascos'}","{'Donny Osmond', 'Aaron Carter'}","{'Aaron Carter', 'Mark Dacascos'}",1,0,1
10,5,8,1,Kate Gosselin,Pamela Anderson,Kate Gosselin,Chad Ochocinco,Kate Gosselin,0,1,0,1,0,0,0,0,0,0,{'Pamela Anderson'},{'Kate Gosselin'},{'Chad Ochocinco'},{'Kate Gosselin'},1,1,0
10,7,6,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,Nicole Scherzinger,1,1,1,0,0,0,0,0,0,0,{'Pamela Anderson'},{'Pamela Anderson'},{'Pamela Anderson'},{'Nicole Scherzinger'},0,1,1
11,4,9,1,The Situation,Rick Fox,The Situation,Rick Fox,The Situation,0,1,0,1,0,0,0,0,0,0,{'Rick Fox'},{'The Situation'},{'Rick Fox'},{'The Situation'},1,1,0
11,5,8,1,Florence Henderson,Audrina Patridge,Florence Henderson,Rick Fox,Kyle Massey,0,1,0,0,0,0,0,0,0,0,{'Audrina Patridge'},{'Florence Henderson'},{'Rick Fox'},{'Kyle Massey'},1,1,1
11,6,7,1,Audrina Patridge,Jennifer Grey,Audrina Patridge,Rick Fox,Audrina Patridge,0,1,0,1,0,0,0,0,0,0,{'Jennifer Grey'},{'Audrina Patridge'},{'Rick Fox'},{'Audrina Patridge'},1,1,0
11,7,6,1,Rick Fox,Rick Fox,Rick Fox,Rick Fox,Brandy,1,1,1,0,0,0,0,0,0,0,{'Rick Fox'},{'Rick Fox'},{'Rick Fox'},{'Brandy'},0,1,1
11,8,5,1,Kurt Warner,Brandy,Kurt Warner,Brandy,Brandy,0,1,0,0,0,0,0,0,0,0,{'Brandy'},{'Kurt Warner'},{'Brandy'},{'Brandy'},1,0,1
12,5,8,1,Petra Nemcova,Kirstie Alley,Petra Nemcova,Kirstie Alley,Petra Nemcova,0,1,0,1,0,0,0,0,0,0,{'Kirstie Alley'},{'Petra Nemcova'},{'Kirstie Alley'},{'Petra Nemcova'},1,1,0
12,6,7,1,Chris Jericho,Hines Ward,Chris Jericho,Kirstie Alley,Chris Jericho,0,1,0,1,0,0,0,0,0,0,{'Hines Ward'},{'Chris Jericho'},{'Kirstie Alley'},{'Chris Jericho'},1,1,0
13,2,11,1,Elisabetta Canalis,David Arquette,Elisabetta Canalis,Elisabetta Canalis,Elisabetta Canalis,0,1,1,1,1,0,0,0,0,0,{'David Arquette'},{'Elisabetta Canalis'},{'Elisabetta Canalis'},{'Elisabetta Canalis'},1,1,0
13,3,10,1,Kristin Cavallari,Carson Kressley,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,0,1,1,1,1,0,0,0,0,0,{'Carson Kressley'},{'Kristin Cavallari'},{'Kristin Cavallari'},{'Kristin Cavallari'},1,1,0
13,4,9,1,Chynna Phillips,Carson Kressley,Chynna Phillips,Chynna Phillips,Chynna Phillips,0,1,1,1,1,0,0,0,0,0,{'Carson Kressley'},{'Chynna Phillips'},{'Chynna Phillips'},{'Chynna Phillips'},1,1,0
13,8,5,1,Nancy Grace,Rob Kardashian,Nancy Grace,Ricki Lake,Nancy Grace,0,1,0,1,0,0,0,0,0,0,{'Rob Kardashian'},{'Nancy Grace'},{'Ricki Lake'},{'Nancy Grace'},1,1,0
14,7,7,1,Jaleel White,Jaleel White,Jaleel White,Jaleel White,Katherine Jenkins,1,1,1,0,0,0,0,0,0,0,{'Jaleel White'},{'Jaleel White'},{'Jaleel White'},{'Katherine Jenkins'},0,1,1
14,8,6,2,Melissa Gilbert;Roshon Fegan,Maria Menounos;Melissa Gilbert,Melissa Gilbert;Roshon Fegan,Melissa Gilbert;Roshon Fegan,Melissa Gilbert;Roshon Fegan,0,1,1,1,0,0,0,0,0,0,"{'Maria Menounos', 'Melissa Gilbert'}","{'Roshon Fegan', 'Melissa Gilbert'}","{'Roshon Fegan', 'Melissa Gilbert'}","{'Roshon Fegan', 'Melissa Gilbert'}",1,1,0
15,3,11,2,Drew Lachey;Helio Castroneves,Drew Lachey;Kirstie Alley,Drew Lachey;Helio Castroneves,Drew Lachey;Helio Castroneves,Drew Lachey;Helio Castroneves,0,1,1,1,1,0,0,0,0,0,"{'Drew Lachey', 'Kirstie Alley'}","{'Drew Lachey', 'Helio Castroneves'}","{'Drew Lachey', 'Helio Castroneves'}","{'Drew Lachey', 'Helio Castroneves'}",1,1,0
15,5,8,1,Sabrina Bryan,Kelly Monaco,Melissa Rycroft,Melissa Rycroft,Melissa Rycroft,0,0,0,0,0,0,0,0,0,0,{'Kelly Monaco'},{'Melissa Rycroft'},{'Melissa Rycroft'},{'Melissa Rycroft'},1,1,0
15,7,7,2,Gilles Marini;Kirstie Alley,Apolo Anton Ohno;Gilles Marini,Gilles Marini;Kirstie Alley,Emmitt Smith;Gilles Marini,Gilles Marini;Kirstie Alley,0,1,0,1,0,0,0,0,0,0,"{'Apolo Anton Ohno', 'Gilles Marini'}","{'Gilles Marini', 'Kirstie Alley'}","{'Gilles Marini', 'Emmitt Smith'}","{'Gilles Marini', 'Kirstie Alley'}",1,1,0
16,6,8,1,Victor Ortiz,Jacoby Jones,Victor Ortiz,Jacoby Jones,Victor Ortiz,0,1,0,1,0,0,0,0,0,0,{'Jacoby Jones'},{'Victor Ortiz'},{'Jacoby Jones'},{'Victor Ortiz'},1,1,0
16,7,7,1,Andy Dick,Ingo Rademacher,Andy Dick,Andy Dick,Andy Dick,0,1,1,1,0,0,0,0,0,0,{'Ingo Rademacher'},{'Andy Dick'},{'Andy Dick'},{'Andy Dick'},1,1,0
16,8,6,1,Sean Lowe,Jacoby Jones,Sean Lowe,Jacoby Jones,Sean Lowe,0,1,0,1,0,0,0,0,0,0,{'Jacoby Jones'},{'Sean Lowe'},{'Jacoby Jones'},{'Sean Lowe'},1,1,0
17,5,9,1,Christina Milian,Elizabeth Berkley Lauren,Christina Milian,Elizabeth Berkley Lauren,Christina Milian,0,1,0,1,1,1,0,1,0,1,{'Elizabeth Berkley Lauren'},{'Christina Milian'},{'Elizabeth Berkley Lauren'},{'Christina Milian'},1,1,0
17,6,8,1,"Nicole ""Snooki"" Polizzi",Corbin Bleu,Bill Engvall,"Nicole ""Snooki"" Polizzi",Bill Engvall,0,0,1,0,0,0,0,0,0,0,{'Corbin Bleu'},{'Bill Engvall'},"{'Nicole ""Snooki"" Polizzi'}",{'Bill Engvall'},1,1,0
17,9,6,1,Elizabeth Berkley Lauren,Amber Riley,Elizabeth Berkley Lauren,Jack Osbourne,Elizabeth Berkley Lauren,0,1,0,1,0,0,0,0,0,0,{'Amber Riley'},{'Elizabeth Berkley Lauren'},{'Jack Osbourne'},{'Elizabeth Berkley Lauren'},1,1,0
18,2,11,2,Billy Dee Williams;Sean Avery,Amy Purdy;Sean Avery,Billy Dee Williams;Sean Avery,Meryl Davis;Sean Avery,Billy Dee Williams;Sean Avery,0,1,0,1,1,1,0,1,0,1,"{'Sean Avery', 'Amy Purdy'}","{'Sean Avery', 'Billy Dee Williams'}","{'Meryl Davis', 'Sean Avery'}","{'Sean Avery', 'Billy Dee Williams'}",1,1,0
18,3,9,1,Cody Simpson,Drew Carey,Danica McKellar,Danica McKellar,Danica McKellar,0,0,0,0,0,0,0,0,0,0,{'Drew Carey'},{'Danica McKellar'},{'Danica McKellar'},{'Danica McKellar'},1,1,0
18,6,8,1,Drew Carey,Drew Carey,Drew Carey,Drew Carey,Danica McKellar,1,1,1,0,0,0,0,0,0,0,{'Drew Carey'},{'Drew Carey'},{'Drew Carey'},{'Danica McKellar'},0,1,1
19,3,11,1,Randy Couture,Lea Thompson,Randy Couture,Lea Thompson,Randy Couture,0,1,0,1,1,0,0,0,0,0,{'Lea Thompson'},{'Randy Couture'},{'Lea Thompson'},{'Randy Couture'},1,1,0
19,5,9,1,Jonathan Bennett,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Michael Waltrip,0,0,0,0,1,0,0,0,0,0,{'Antonio Sabato Jr.'},{'Antonio Sabato Jr.'},{'Antonio Sabato Jr.'},{'Michael Waltrip'},0,1,1
19,8,7,1,Michael Waltrip,Bethany Mota,Michael Waltrip,Bethany Mota,Michael Waltrip,0,1,0,1,0,0,0,0,0,0,{'Bethany Mota'},{'Michael Waltrip'},{'Bethany Mota'},{'Michael Waltrip'},1,1,0
20,5,9,1,Suzanne Somers,Robert Herjavec,Suzanne Somers,Suzanne Somers,Robert Herjavec,0,1,1,0,0,0,0,0,0,0,{'Robert Herjavec'},{'Suzanne Somers'},{'Suzanne Somers'},{'Robert Herjavec'},1,0,1
20,7,7,1,Willow Shields,Rumer Willis,Willow Shields,Willow Shields,Willow Shields,0,1,1,1,0,0,0,0,0,0,{'Rumer Willis'},{'Willow Shields'},{'Willow Shields'},{'Willow Shields'},1,1,0
20,8,6,2,Chris Soules;Robert Herjavec,Nastia Liukin;Robert Herjavec,Chris Soules;Robert Herjavec,Riker Lynch;Robert Herjavec,Chris Soules;Robert Herjavec,0,1,0,1,0,0,0,0,0,0,"{'Robert Herjavec', 'Nastia Liukin'}","{'Robert Herjavec', 'Chris Soules'}","{'Robert Herjavec', 'Riker Lynch'}","{'Robert Herjavec', 'Chris Soules'}",1,1,0
21,3,10,1,Gary Busey,Andy Grammer,Paula Deen,Paula Deen,Paula Deen,0,0,0,0,1,0,0,0,0,0,{'Andy Grammer'},{'Paula Deen'},{'Paula Deen'},{'Paula Deen'},1,1,0
21,7,8,1,Hayes Grier,Tamar Braxton,Hayes Grier,Hayes Grier,Hayes Grier,0,1,1,1,0,0,0,0,0,0,{'Tamar Braxton'},{'Hayes Grier'},{'Hayes Grier'},{'Hayes Grier'},1,1,0
21,9,6,2,Alexa PenaVega;Tamar Braxton,Carlos PenaVega;Tamar Braxton,Alexa PenaVega;Tamar Braxton,Alexa PenaVega;Tamar Braxton,Alexa PenaVega;Tamar Braxton,0,1,1,1,0,0,0,0,0,0,"{'Carlos PenaVega', 'Tamar Braxton'}","{'Tamar Braxton', 'Alexa PenaVega'}","{'Tamar Braxton', 'Alexa PenaVega'}","{'Tamar Braxton', 'Alexa PenaVega'}",1,1,0
22,5,9,1,Doug Flutie,Kim Fields,Ginger Zee,Kim Fields,Ginger Zee,0,0,0,0,0,0,0,0,0,0,{'Kim Fields'},{'Ginger Zee'},{'Kim Fields'},{'Ginger Zee'},1,1,0
22,8,6,1,Jodie Sweetin,Antonio Brown,Jodie Sweetin,Antonio Brown,Jodie Sweetin,0,1,0,1,0,0,0,0,0,0,{'Antonio Brown'},{'Jodie Sweetin'},{'Antonio Brown'},{'Jodie Sweetin'},1,1,0
23,4,11,2,Babyface;Vanilla Ice,Babyface;Ryan Lochte,Babyface;Vanilla Ice,Babyface;Vanilla Ice,Babyface;Vanilla Ice,0,1,1,1,1,0,0,0,0,0,"{'Babyface', 'Ryan Lochte'}","{'Babyface', 'Vanilla Ice'}","{'Babyface', 'Vanilla Ice'}","{'Babyface', 'Vanilla Ice'}",1,1,0
23,8,7,1,Ryan Lochte,Marilu Henner,Ryan Lochte,Laurie Hernandez,Ryan Lochte,0,1,0,1,0,0,0,0,0,0,{'Marilu Henner'},{'Ryan Lochte'},{'Laurie Hernandez'},{'Ryan Lochte'},1,1,0
23,9,6,1,Marilu Henner,Calvin Johnson Jr.,Marilu Henner,Marilu Henner,Marilu Henner,0,1,1,1,0,0,0,0,0,0,{'Calvin Johnson Jr.'},{'Marilu Henner'},{'Marilu Henner'},{'Marilu Henner'},1,1,0
24,5,9,1,Erika Jayne,David Ross,Erika Jayne,Erika Jayne,Erika Jayne,0,1,1,1,0,0,0,0,0,0,{'David Ross'},{'Erika Jayne'},{'Erika Jayne'},{'Erika Jayne'},1,1,0
24,6,8,1,Heather Morris,Nick Viall,Heather Morris,Simone Biles,Heather Morris,0,1,0,1,0,0,0,0,0,0,{'Nick Viall'},{'Heather Morris'},{'Simone Biles'},{'Heather Morris'},1,1,0
24,7,7,2,Nancy Kerrigan;Nick Viall,Bonner Bolton;Nick Viall,Nancy Kerrigan;Nick Viall,Nick Viall;Rashad Jennings,Nick Viall;Rashad Jennings,0,1,0,0,0,0,0,0,0,0,"{'Bonner Bolton', 'Nick Viall'}","{'Nick Viall', 'Nancy Kerrigan'}","{'Nick Viall', 'Rashad Jennings'}","{'Nick Viall', 'Rashad Jennings'}",1,1,1
25,6,9,1,Nick Lachey,Frankie Muniz,Nick Lachey,Frankie Muniz,Nick Lachey,0,1,0,1,0,0,0,0,0,0,{'Frankie Muniz'},{'Nick Lachey'},{'Frankie Muniz'},{'Nick Lachey'},1,1,0
25,7,8,2,Nikki Bella;Vanessa Lachey,Nikki Bella;Terrell Owens,Nikki Bella;Vanessa Lachey,Nikki Bella;Vanessa Lachey,Nikki Bella;Vanessa Lachey,0,1,1,1,0,0,0,0,0,0,"{'Terrell Owens', 'Nikki Bella'}","{'Nikki Bella', 'Vanessa Lachey'}","{'Nikki Bella', 'Vanessa Lachey'}","{'Nikki Bella', 'Vanessa Lachey'}",1,1,0
25,8,6,1,Terrell Owens,Frankie Muniz,Terrell Owens,Terrell Owens,Terrell Owens,0,1,1,1,0,0,0,0,0,0,{'Frankie Muniz'},{'Terrell Owens'},{'Terrell Owens'},{'Terrell Owens'},1,1,0
26,2,8,2,Arike Ogunbowale;Kareem Abdul-Jabbar,Jennie Finch Daigle;Kareem Abdul-Jabbar,Arike Ogunbowale;Kareem Abdul-Jabbar,Arike Ogunbowale;Kareem Abdul-Jabbar,Arike Ogunbowale;Kareem Abdul-Jabbar,0,1,1,1,0,0,0,0,0,0,"{'Jennie Finch Daigle', 'Kareem Abdul-Jabbar'}","{'Arike Ogunbowale', 'Kareem Abdul-Jabbar'}","{'Arike Ogunbowale', 'Kareem Abdul-Jabbar'}","{'Arike Ogunbowale', 'Kareem Abdul-Jabbar'}",1,1,0
27,4,10,1,Tinashe,DeMarcus Ware,Tinashe,Juan Pablo Di Pace,Tinashe,0,1,0,1,1,0,0,0,0,0,{'DeMarcus Ware'},{'Tinashe'},{'Juan Pablo Di Pace'},{'Tinashe'},1,1,0
28,3,10,1,Lamar Odom,Karamo Brown,Karamo Brown,Karamo Brown,Lamar Odom,0,0,0,1,1,0,0,0,0,0,{'Karamo Brown'},{'Karamo Brown'},{'Karamo Brown'},{'Lamar Odom'},0,1,1
28,7,8,1,Karamo Brown,Karamo Brown,Lauren Alaina,Lauren Alaina,Lauren Alaina,1,0,0,0,0,0,0,0,0,0,{'Karamo Brown'},{'Lauren Alaina'},{'Lauren Alaina'},{'Lauren Alaina'},1,1,0
28,8,7,1,Kate Flannery,Kate Flannery,Lauren Alaina,Kate Flannery,James Van Der Beek,1,0,1,0,0,0,0,0,0,0,{'Kate Flannery'},{'Lauren Alaina'},{'Kate Flannery'},{'James Van Der Beek'},1,1,1
29,7,10,2,Jeannie Mai;Monica Aldama,Jeannie Mai;Kaitlyn Bristowe,Jeannie Mai;Johnny Weir,Jeannie Mai;Johnny Weir,Jeannie Mai;Johnny Weir,0,0,0,0,1,0,0,1,1,1,"{'Kaitlyn Bristowe', 'Jeannie Mai'}","{'Jeannie Mai', 'Johnny Weir'}","{'Jeannie Mai', 'Johnny Weir'}","{'Jeannie Mai', 'Johnny Weir'}",1,1,0
29,8,8,1,Chrishell Stause,Chrishell Stause,Nev Schulman,Nev Schulman,Nev Schulman,1,0,0,0,0,0,0,0,0,0,{'Chrishell Stause'},{'Nev Schulman'},{'Nev Schulman'},{'Nev Schulman'},1,1,0
29,9,7,1,AJ McLean,AJ McLean,Nev Schulman,AJ McLean,Nev Schulman,1,0,1,0,0,0,0,0,0,0,{'AJ McLean'},{'Nev Schulman'},{'AJ McLean'},{'Nev Schulman'},1,1,0
30,3,14,1,Christine Chiu,Brian Austin Green,Melanie C,Melanie C,Melanie C,0,0,0,0,1,0,0,1,1,1,{'Brian Austin Green'},{'Melanie C'},{'Melanie C'},{'Melanie C'},1,1,0
30,4,13,2,Brian Austin Green;Matt James,Brian Austin Green;Matt James,Melora Hardin;Olivia Jade,Melora Hardin;Olivia Jade,Melora Hardin;Olivia Jade,1,0,0,0,1,1,1,1,1,1,"{'Matt James', 'Brian Austin Green'}","{'Olivia Jade', 'Melora Hardin'}","{'Olivia Jade', 'Melora Hardin'}","{'Olivia Jade', 'Melora Hardin'}",1,1,0
30,5,11,1,Melanie C,Iman Shumpert,JoJo Siwa,Melanie C,JoJo Siwa,0,0,1,0,1,0,1,1,0,1,{'Iman Shumpert'},{'JoJo Siwa'},{'Melanie C'},{'JoJo Siwa'},1,1,0
30,6,10,1,Kenya Moore,Kenya Moore,Kenya Moore,Kenya Moore,JoJo Siwa,1,1,1,0,1,0,0,0,0,1,{'Kenya Moore'},{'Kenya Moore'},{'Kenya Moore'},{'JoJo Siwa'},0,1,1
30,7,9,1,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",Melora Hardin,Melora Hardin,Melora Hardin,1,0,0,0,0,0,0,0,0,0,"{'Mike ""The Miz"" Mizanin'}",{'Melora Hardin'},{'Melora Hardin'},{'Melora Hardin'},1,1,0
30,8,8,2,Jimmie Allen;Olivia Jade,Jimmie Allen;Olivia Jade,Amanda Kloots;Olivia Jade,Amanda Kloots;Melora Hardin,Amanda Kloots;Olivia Jade,1,0,0,0,0,0,0,0,0,0,"{'Olivia Jade', 'Jimmie Allen'}","{'Olivia Jade', 'Amanda Kloots'}","{'Melora Hardin', 'Amanda Kloots'}","{'Olivia Jade', 'Amanda Kloots'}",1,1,0
31,2,15,1,Teresa Giudice,Teresa Giudice,Daniel Durant,Teresa Giudice,Daniel Durant,1,0,1,0,1,0,0,1,0,1,{'Teresa Giudice'},{'Daniel Durant'},{'Teresa Giudice'},{'Daniel Durant'},1,1,0
31,4,13,1,Sam Champion,Sam Champion,Gabby Windey,Heidi D'Amelio,Gabby Windey,1,0,0,0,1,0,0,1,1,1,{'Sam Champion'},{'Gabby Windey'},"{""Heidi D'Amelio""}",{'Gabby Windey'},1,1,0
31,5,12,2,Joseph Baena;Selma Blair,Daniel Durant;Joseph Baena,Charli D'Amelio;Selma Blair,Charli D'Amelio;Selma Blair,Charli D'Amelio;Selma Blair,0,0,0,0,1,1,0,1,1,1,"{'Daniel Durant', 'Joseph Baena'}","{'Selma Blair', ""Charli D'Amelio""}","{'Selma Blair', ""Charli D'Amelio""}","{'Selma Blair', ""Charli D'Amelio""}",1,1,0
31,6,10,1,Jessie James Decker,Jessie James Decker,Charli D'Amelio,Wayne Brady,Charli D'Amelio,1,0,0,0,1,0,0,1,0,1,{'Jessie James Decker'},"{""Charli D'Amelio""}",{'Wayne Brady'},"{""Charli D'Amelio""}",1,1,0
31,7,9,1,Jordin Sparks,Gabby Windey,Charli D'Amelio,Wayne Brady,Charli D'Amelio,0,0,0,0,1,0,0,1,0,1,{'Gabby Windey'},"{""Charli D'Amelio""}",{'Wayne Brady'},"{""Charli D'Amelio""}",1,1,0
31,8,8,2,Heidi D'Amelio;Vinny Guadagnino,Gabby Windey;Heidi D'Amelio,Heidi D'Amelio;Wayne Brady,Charli D'Amelio;Wayne Brady,Heidi D'Amelio;Wayne Brady,0,0,0,0,0,0,0,0,0,0,"{'Gabby Windey', ""Heidi D'Amelio""}","{'Wayne Brady', ""Heidi D'Amelio""}","{'Wayne Brady', ""Charli D'Amelio""}","{'Wayne Brady', ""Heidi D'Amelio""}",1,1,0
32,2,13,1,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Jamie Lynn Spears,Mauricio Umansky,1,1,1,0,1,0,0,0,0,0,{'Jamie Lynn Spears'},{'Jamie Lynn Spears'},{'Jamie Lynn Spears'},{'Mauricio Umansky'},0,1,1
32,3,12,1,Tyson Beckford,Tyson Beckford,Xochitl Gomez,Xochitl Gomez,Tyson Beckford,1,0,0,1,1,0,0,1,1,0,{'Tyson Beckford'},{'Xochitl Gomez'},{'Xochitl Gomez'},{'Tyson Beckford'},1,0,1
32,4,11,1,Adrian Peterson,Adrian Peterson,Lele Pons,Adrian Peterson,Lele Pons,1,0,1,0,1,0,0,0,0,0,{'Adrian Peterson'},{'Lele Pons'},{'Adrian Peterson'},{'Lele Pons'},1,1,0
