season,week,n_active,n_contro,max_abs_gap,mean_abs_gap,contro_rate
13,6,7,2,6.0,2.7142857142857144,0.2857142857142857
13,7,6,2,5.0,2.3333333333333335,0.3333333333333333
13,8,5,2,4.0,2.2,0.4
13,9,4,0,3.0,1.5,0.0
14,3,11,5,7.0,3.5454545454545454,0.45454545454545453
14,4,10,4,6.0,2.8,0.4
14,5,9,3,8.0,2.888888888888889,0.3333333333333333
14,6,8,4,7.0,3.25,0.5
14,7,7,2,6.0,2.7142857142857144,0.2857142857142857
14,8,6,1,4.0,1.5,0.16666666666666666
14,9,4,0,3.0,2.0,0.0
15,2,12,6,9.0,4.583333333333333,0.5
15,3,11,3,10.0,3.6363636363636362,0.2727272727272727
15,4,9,4,8.0,3.888888888888889,0.4444444444444444
15,5,8,6,6.0,4.5,0.75
15,7,7,2,5.0,2.5714285714285716,0.2857142857142857
15,9,5,0,3.0,1.6,0.0
16,3,11,4,9.0,3.1818181818181817,0.36363636363636365
16,4,10,7,7.0,4.3,0.7
16,5,9,5,7.0,4.0,0.5555555555555556
16,6,8,4,6.0,3.125,0.5
16,7,7,2,5.0,3.142857142857143,0.2857142857142857
16,8,6,2,4.0,2.3333333333333335,0.3333333333333333
16,9,5,1,4.0,2.6,0.2
17,3,11,1,4.0,1.6363636363636365,0.09090909090909091
17,4,10,5,7.0,3.6,0.5
17,5,9,4,8.0,4.333333333333333,0.4444444444444444
17,6,8,4,7.0,3.5,0.5
17,8,7,2,6.0,3.142857142857143,0.2857142857142857
17,9,6,2,4.0,2.5,0.3333333333333333
17,10,5,1,4.0,2.0,0.2
18,2,11,7,9.0,4.545454545454546,0.6363636363636364
18,3,9,7,7.0,4.444444444444445,0.7777777777777778
18,6,8,3,6.0,2.5,0.375
18,7,7,1,6.0,2.0,0.14285714285714285
18,8,6,1,4.0,2.3333333333333335,0.16666666666666666
18,9,5,1,4.0,2.2,0.2
19,2,12,6,7.0,3.5833333333333335,0.5
19,3,11,6,8.0,3.3636363636363638,0.5454545454545454
19,4,10,7,8.0,4.7,0.7
19,5,9,5,8.0,4.111111111111111,0.5555555555555556
19,7,8,4,7.0,3.5,0.5
19,8,7,3,5.0,2.2857142857142856,0.42857142857142855
19,9,6,2,5.0,2.1666666666666665,0.3333333333333333
19,10,5,2,4.0,2.0,0.4
20,3,11,8,9.0,4.0,0.7272727272727273
20,4,10,5,9.0,4.0,0.5
20,5,9,6,7.0,4.111111111111111,0.6666666666666666
20,6,8,4,6.0,3.25,0.5
20,7,7,4,5.0,2.857142857142857,0.5714285714285714
20,8,6,2,4.0,3.0,0.3333333333333333
20,9,4,0,3.0,2.25,0.0
21,3,10,5,8.0,3.4,0.5
21,5,9,5,7.0,3.2222222222222223,0.5555555555555556
21,7,8,4,6.0,3.5,0.5
21,8,7,3,4.0,2.7142857142857144,0.42857142857142855
21,9,6,2,5.0,2.1666666666666665,0.3333333333333333
21,10,4,0,3.0,2.25,0.0
22,3,11,4,10.0,3.5454545454545454,0.36363636363636365
22,4,10,4,8.0,3.5,0.4
22,5,9,4,7.0,3.2222222222222223,0.4444444444444444
22,7,8,1,7.0,2.5,0.125
22,8,6,3,5.0,2.8333333333333335,0.5
22,9,5,1,4.0,2.4,0.2
23,3,12,6,10.0,4.083333333333333,0.5
23,4,11,3,9.0,3.272727272727273,0.2727272727272727
23,5,9,1,4.0,2.111111111111111,0.1111111111111111
23,7,8,3,7.0,2.875,0.375
23,8,7,4,6.0,3.5714285714285716,0.5714285714285714
23,9,6,0,3.0,1.6666666666666667,0.0
23,10,5,1,4.0,2.6,0.2
24,3,11,2,7.0,2.272727272727273,0.18181818181818182
24,4,10,3,7.0,2.4,0.3
24,5,9,2,6.0,2.0,0.2222222222222222
24,6,8,5,7.0,3.75,0.625
24,7,7,3,5.0,3.0,0.42857142857142855
24,8,5,1,4.0,2.4,0.2
24,9,4,0,3.0,1.5,0.0
25,3,11,7,9.0,4.454545454545454,0.6363636363636364
25,5,10,3,9.0,3.1,0.3
25,6,9,3,6.0,2.888888888888889,0.3333333333333333
25,7,8,1,5.0,2.25,0.125
25,8,6,1,5.0,2.3333333333333335,0.16666666666666666
25,9,5,1,4.0,2.4,0.2
26,2,8,1,5.0,2.125,0.125
26,3,6,1,4.0,2.1666666666666665,0.16666666666666666
27,2,12,12,11.0,6.083333333333333,1.0
27,3,11,6,9.0,3.8181818181818183,0.5454545454545454
27,4,10,4,8.0,3.8,0.4
27,5,9,4,8.0,4.0,0.4444444444444444
27,7,8,2,7.0,2.625,0.25
27,8,6,2,5.0,2.5,0.3333333333333333
28,3,10,5,9.0,4.5,0.5
28,5,9,3,8.0,3.3333333333333335,0.3333333333333333
28,7,8,4,7.0,3.875,0.5
28,8,7,2,6.0,2.5714285714285716,0.2857142857142857
28,9,6,2,5.0,3.0,0.3333333333333333
28,10,5,0,3.0,1.4,0.0
29,3,14,9,12.0,5.142857142857143,0.6428571428571429
29,4,13,6,9.0,3.6153846153846154,0.46153846153846156
29,5,12,7,8.0,4.333333333333333,0.5833333333333334
29,6,11,8,10.0,5.0,0.7272727272727273
29,7,10,4,8.0,3.2,0.4
29,8,8,4,7.0,3.5,0.5
29,9,7,2,5.0,2.2857142857142856,0.2857142857142857
29,10,6,2,5.0,2.6666666666666665,0.3333333333333333
30,3,14,13,10.0,6.928571428571429,0.9285714285714286
30,4,13,9,12.0,6.076923076923077,0.6923076923076923
30,5,11,10,10.0,5.7272727272727275,0.9090909090909091
30,6,10,3,9.0,2.4,0.3
30,7,9,4,6.0,3.5555555555555554,0.4444444444444444
30,8,8,5,7.0,3.875,0.625
30,9,6,1,5.0,2.1666666666666665,0.16666666666666666
31,2,15,8,13.0,5.4,0.5333333333333333
31,3,14,9,12.0,5.571428571428571,0.6428571428571429
31,4,13,11,12.0,6.230769230769231,0.8461538461538461
31,5,12,8,10.0,5.833333333333333,0.6666666666666666
31,6,10,4,9.0,4.1,0.4
31,7,9,3,8.0,3.111111111111111,0.3333333333333333
31,8,8,4,7.0,3.75,0.5
31,9,6,3,5.0,3.0,0.5
32,2,13,11,9.0,5.230769230769231,0.8461538461538461
32,3,12,9,10.0,5.583333333333333,0.75
32,4,11,9,8.0,4.818181818181818,0.8181818181818182
32,5,10,5,9.0,4.1,0.5
32,6,9,6,8.0,3.7777777777777777,0.6666666666666666
32,7,8,5,7.0,4.0,0.625
32,8,7,3,6.0,3.142857142857143,0.42857142857142855
32,9,6,2,4.0,2.3333333333333335,0.3333333333333333
32,10,5,2,4.0,2.4,0.4
33,8,5,1,4.0,2.6,0.2
34,3,12,5,10.0,4.083333333333333,0.4166666666666667
34,4,11,8,9.0,4.636363636363637,0.7272727272727273
34,5,10,7,9.0,3.9,0.7
34,7,9,4,8.0,3.888888888888889,0.4444444444444444
34,8,8,4,7.0,3.875,0.5
34,9,7,1,6.0,2.142857142857143,0.14285714285714285
34,10,6,2,4.0,2.6666666666666665,0.3333333333333333
